depth,EvalMinimax(d=3),QSearchMinimax(d=3)
3,1.0,1.0
2,27.39430894308943,21.622764227642275
1,6.212531627936728,11.375539295265513
0,13.407156666114105,9.217300448881836
-1,,1.0010477832800493
-2,,1.6646199802976642
