depth,EvalMinimax(d=3),QSearchMinimax(d=3)
3,1.0,1.0
2,18.34232121922626,38.353488372093025
1,13.425350610795926,4.521313468552906
0,4.763628118837002,20.89561409841163
-1,,0.8853646519837499
